官方 ROM (lineage-23.2-20260817) vendor 模块 __versions CRC 表
vermagic: 5.4.302-qgki-gc8c87694a044 SMP preempt mod_unload modversions aarch64
共 488 条符号
qca_cld3_wlan: ipa_wdi_create_smmu_mapping 0xcf72ac45
qca_cld3_wlan: ipa_free_skb 0x4e039d58
qca_cld3_wlan: ipa_register_ipa_ready_cb 0x23fed57a
qca_cld3_wlan: skb_clone 0xd4ea6313
qca_cld3_wlan: cpu_bit_bitmap 0x62ad2053
qca_cld3_wlan: cpu_topology 0x42bf23cb
qca_cld3_wlan: __cpu_online_mask 0xac594e02
qca_cld3_wlan: bitmap_print_to_pagebuf 0xf474c21c
qca_cld3_wlan: wait_for_completion_interruptible 0x262e823a
qca_cld3_wlan: cpumask_next 0x92ad1db9
qca_cld3_wlan: ipa_get_smmu_params 0x32780361
qca_cld3_wlan: iommu_domain_get_attr 0xd4582c0a
qca_cld3_wlan: find_next_bit 0xc0a3d105
qca_cld3_wlan: add_timer 0x65744673
qca_cld3_wlan: cfg80211_sched_scan_results 0xdaff3b6a
qca_cld3_wlan: cfg80211_unlink_bss 0xa533dff6
qca_cld3_wlan: cfg80211_get_bss 0x6d578624
qca_cld3_wlan: cfg80211_inform_bss_frame_data 0x27911653
qca_cld3_wlan: atomic_notifier_call_chain 0xd3752c27
qca_cld3_wlan: blocking_notifier_call_chain 0xb1d2c01b
qca_cld3_wlan: blocking_notifier_chain_unregister 0x444e9140
qca_cld3_wlan: blocking_notifier_chain_register 0xb4ab5609
qca_cld3_wlan: __cpuhp_remove_state 0x92c74b5c
qca_cld3_wlan: __cpuhp_setup_state 0x0ea41720
qca_cld3_wlan: skip_spaces 0xd0a91bab
qca_cld3_wlan: strim 0x77bc13a0
qca_cld3_wlan: param_ops_uint 0xb445f4d1
qca_cld3_wlan: param_ops_bool 0xc03712f1
qca_cld3_wlan: hex_dump_to_buffer 0xfe916dc6
qca_cld3_wlan: sprint_symbol 0x661601de
qca_cld3_wlan: vscnprintf 0xaa0c318b
qca_cld3_wlan: vsnprintf 0x00148653
qca_cld3_wlan: __put_task_struct 0xc398cfed
qca_cld3_wlan: __usecs_to_jiffies 0xf1969a8e
qca_cld3_wlan: set_cpus_allowed_ptr 0xf8349c0f
qca_cld3_wlan: stack_trace_print 0xa45c7b90
qca_cld3_wlan: save_stack_trace_tsk 0x16e845c2
qca_cld3_wlan: kthread_should_stop 0xb3f7646e
qca_cld3_wlan: kthread_stop 0x7f28dd5f
qca_cld3_wlan: set_user_nice 0xc156b459
